Arrival_time,Stop_id,Bus_id,Line_id,Arrival_delay,Dwell_time,Scheduled_travel_time,Upstream_stop_delay,Recurrent_delay
01/05/2022 07:03,10033,41355,1,-23,0,39,-4,28.64150943
01/05/2022 07:21,10033,41356,1,168,0,39,181,27.88059701
01/05/2022 07:37,10033,44400,1,231,0,39,244,27.85294118
01/05/2022 07:50,10033,44399,1,150,17,39,143,27.82608696
01/05/2022 19:29,10033,44060,1,965,35,51,947,42.02941176
01/05/2022 19:58,10033,41351,1,33,19,46,30,38.97058824
01/05/2022 20:14,10033,44399,1,75,26,46,63,38.84057971
01/05/2022 20:28,10033,41356,1,58,15,46,52,34.05970149
01/05/2022 20:57,10033,44060,1,904,35,46,888,34.10294118
01/05/2022 21:00,10033,41357,1,141,12,46,140,34
01/05/2022 21:27,10033,41351,1,45,16,46,48,32.94117647
01/05/2022 21:42,10033,44399,1,66,0,46,83,32.85507246
01/05/2022 21:58,10033,41356,1,88,15,46,89,32.8
01/05/2022 22:10,10033,44060,1,6,0,46,20,32.76056338
02/05/2022 06:07,10033,44058,1,82,16,46,82,29.87692308
02/05/2022 06:22,10033,41752,1,38,14,46,35,37.58333333
02/05/2022 06:32,10033,41366,1,35,17,51,34,37.55963303
02/05/2022 06:45,10033,41349,1,116,25,51,105,37.53636364
02/05/2022 06:55,10033,41354,1,143,22,51,142,37.53153153
02/05/2022 07:05,10033,41364,1,37,24,57,31,37.46428571
02/05/2022 07:15,10033,44398,1,31,19,57,36,37.47787611
02/05/2022 07:25,10033,41373,1,-14,17,57,-13,37.43859649
02/05/2022 07:32,10033,44058,1,-30,16,57,-22,47.592
02/05/2022 08:46,10033,41345,1,391,43,62,329,51.33333333
02/05/2022 09:28,10033,44069,1,134,18,62,144,51.73239437
02/05/2022 09:36,10033,44064,1,184,28,62,155,49.14678899
02/05/2022 09:55,10033,41752,1,258,17,62,258,49.27272727
02/05/2022 10:01,10033,41366,1,41,23,62,41,49.23423423
02/05/2022 10:07,10033,44399,1,-50,16,62,-43,49.14285714
02/05/2022 10:18,10033,41354,1,68,22,62,61,49.05309735
02/05/2022 10:29,10033,41365,1,169,23,62,163,49.03508772
02/05/2022 10:34,10033,41374,1,12,14,62,2,49.62931034
02/05/2022 10:46,10033,41757,1,246,29,62,230,49.7008547
02/05/2022 11:00,10033,41373,1,513,22,62,515,49.69491525
02/05/2022 11:02,10033,44058,1,135,0,62,167,49.59663866
02/05/2022 11:18,10033,44064,1,109,28,62,72,49.31404959
02/05/2022 11:26,10033,41357,1,40,29,62,-7,49.49180328
02/05/2022 11:35,10033,41752,1,106,41,62,78,51.50862069
02/05/2022 11:48,10033,41366,1,355,47,62,312,51.48717949
02/05/2022 11:56,10033,44399,1,344,32,62,324,51.54237288
02/05/2022 12:03,10033,41354,1,196,27,62,179,51.52941176
02/05/2022 12:13,10033,41365,1,363,19,62,348,51.53333333
02/05/2022 12:18,10033,41374,1,112,24,62,103,51.58677686
02/05/2022 12:27,10033,41757,1,85,29,62,60,51.54918033
02/05/2022 12:44,10033,41373,1,595,23,62,555,49.60176991
02/05/2022 12:50,10033,44058,1,470,79,62,392,49.85964912
02/05/2022 13:01,10033,44064,1,109,17,62,103,50.15517241
02/05/2022 13:19,10033,41752,1,142,40,62,126,50.19491525
02/05/2022 13:35,10033,44399,1,87,22,62,58,49.00862069
02/05/2022 13:45,10033,41354,1,150,23,62,153,49.17948718
02/05/2022 13:54,10033,41365,1,231,56,62,175,49.06779661
02/05/2022 14:05,10033,41374,1,345,27,62,341,49.17647059
02/05/2022 14:10,10033,41757,1,183,18,62,170,49.09166667
02/05/2022 14:22,10033,41373,1,314,39,62,286,49.15702479
02/05/2022 14:29,10033,44058,1,311,61,62,273,49.17213115
02/05/2022 14:33,10033,44069,1,2,33,62,-20,49.80152672
02/05/2022 14:42,10033,44064,1,67,34,62,61,49.81060606
02/05/2022 14:53,10033,41357,1,153,29,62,144,49.69172932
